,DoorDash_PM
0,83.508
1,82.779
2,80.628
3,82.848
4,80.255
5,80.144
6,83.5
7,79.416
8,84.09
9,79.454
10,81.519
11,81.534
12,81.55
13,79.943
14,84.239
15,79.71
16,79.851
17,80.806
18,77.698
19,77.785
20,77.561
21,77.409
22,81.411
23,79.64
24,82.204
25,77.755
26,82.558
27,80.297
28,78.425
29,82.668
30,79.014
31,82.319
32,80.41
33,82.492
34,77.451
35,81.605
36,83.551
37,79.108
38,84.901
39,79.611
40,79.126
41,77.328
42,78.166
43,80.517
44,79.165
45,80.077
46,83.024
47,81.06
48,80.241
49,81.108
50,83.261
51,81.225
52,79.047
53,78.917
54,78.07
55,77.025
56,78.752
57,76.037
58,82.19
59,80.391
60,80.186
61,80.542
62,78.929
63,81.617
64,79.663
65,78.424
66,82.321
67,80.753
68,81.045
69,80.445
70,80.711
71,82.806
72,81.298
73,76.65
74,82.895
75,79.99
76,82.527
77,81.38
78,80.316
79,77.863
80,80.201
81,82.499
82,80.809
83,82.227
84,79.091
85,83.057
86,78.96
87,81.832
88,81.032
89,77.366
90,80.915
91,79.418
92,85.061
93,79.588
94,80.964
95,80.056
96,78.644
97,82.291
98,84.29
99,84.034
100,81.98
101,81.35
102,81.268
103,82.428
104,79.62
105,80.909
106,81.743
107,86.033
108,82.139
109,81.956
110,76.297
111,81.95
112,74.997
113,83.151
114,81.219
115,81.15
116,80.544
117,80.393
118,80.883
119,82.353
120,81.534
121,79.02
122,82.117
123,82.184
124,79.429
125,84.186
126,78.065
127,81.215
128,83.832
129,81.235
130,79.831
131,78.617
132,84.119
133,82.652
134,79.003
135,84.699
136,81.785
137,77.038
138,79.264
139,83.742
140,82.913
141,81.333
142,80.026
143,78.153
144,80.464
145,78.552
146,79.683
147,81.327
148,84.876
149,80.54
150,77.662
151,85.871
152,79.33
153,80.283
154,79.624
155,79.333
156,81.87
157,83.158
158,82.305
159,83.214
160,78.563
161,82.945
162,77.217
163,79.609
164,81.235
165,77.415
166,79.954
167,82.961
168,81.268
169,79.82
170,78.616
171,82.948
172,81.71
173,81.715
174,82.198
175,80.784
176,79.377
177,79.94
178,82.322
179,82.728
180,79.301
181,81.391
182,81.212
183,81.965
184,82.037
185,83.007
186,84.513
187,81.001
188,78.718
189,82.779
190,79.867
191,76.246
192,81.161
193,83.33
194,80.415
195,82.298
196,83.723
197,81.283
198,77.998
199,80.972
200,83.739
201,78.816
202,75.077
203,82.818
204,82.685
205,79.815
206,78.835
207,81.511
208,81.353
209,77.733
210,81.083
211,78.094
212,77.301
213,79.724
214,81.654
215,82.934
216,72.548
217,82.122
218,74.953
219,79.116
220,83.245
221,76.516
222,76.762
223,81.277
224,79.845
225,80.041
226,77.898
227,77.213
228,82.999
229,76.504
230,81.461
231,78.356
232,81.088
233,79.648
234,81.058
235,77.697
236,82.717
237,83.836
238,82.303
239,78.552
240,82.232
241,81.77
242,82.577
243,78.863
244,80.085
245,78.407
246,83.099
247,81.528
248,81.138
249,82.106
250,80.623
251,85.015
252,81.004
253,80.747
254,83.05
255,79.026
256,80.609
257,80.558
258,80.114
259,79.056
260,77.021
261,78.441
262,77.555
263,77.574
264,77.351
265,83.144
266,79.054
267,77.706
268,80.508
269,78.548
270,77.007
271,81.402
272,84.195
273,80.852
274,81.027
275,78.08
276,79.043
277,77.061
278,78.605
279,78.975
280,81.298
281,81.523
282,81.946
283,77.417
284,75.679
285,78.665
286,76.143
287,76.486
288,83.409
289,79.948
290,81.598
291,80.803
292,80.867
293,79.078
294,79.312
295,79.886
296,76.513
297,79.576
298,78.822
299,79.918
300,77.824
301,78.448
302,80.08
303,77.981
304,77.517
305,79.035
306,79.411
307,80.91
308,81.7
309,79.621
310,74.751
311,81.924
312,80.625
313,80.028
314,79.326
315,78.844
316,78.139
317,79.322
318,77.764
319,76.624
320,78.073
321,78.394
322,80.319
323,75.641
324,79.928
325,77.216
326,80.164
327,80.586
328,77.722
329,78.255
330,75.243
331,80.538
332,77.291
333,78.774
334,76.425
335,75.386
336,79.779
337,81.817
338,77.284
339,76.498
340,78.908
341,80.708
342,79.376
343,77.07
